ID_img,class
2138.jpg,4.0
2139.jpg,6.0
2140.jpg,3.0
2141.jpg,6.0
2142.jpg,3.0
2143.jpg,4.0
2144.jpg,4.0
2145.jpg,4.0
2146.jpg,1.0
2147.jpg,1.0
2148.jpg,7.0
2149.jpg,3.0
2150.jpg,1.0
2151.jpg,1.0
2152.jpg,1.0
2153.jpg,1.0
2154.jpg,3.0
2155.jpg,1.0
2156.jpg,3.0
2157.jpg,1.0
2158.jpg,4.0
2159.jpg,3.0
2160.jpg,1.0
2161.jpg,5.0
2162.jpg,4.0
2163.jpg,3.0
2164.jpg,7.0
2165.jpg,1.0
2166.jpg,6.0
2167.jpg,4.0
2168.jpg,5.0
2169.jpg,4.0
2170.jpg,3.0
2171.jpg,4.0
2172.jpg,1.0
2173.jpg,5.0
2174.jpg,1.0
2175.jpg,0.0
2176.jpg,4.0
2177.jpg,3.0
2178.jpg,1.0
2179.jpg,5.0
2180.jpg,1.0
2181.jpg,0.0
2182.jpg,1.0
2183.jpg,1.0
2184.jpg,1.0
2185.jpg,3.0
2186.jpg,1.0
2187.jpg,3.0
2188.jpg,1.0
2189.jpg,0.0
2190.jpg,3.0
2191.jpg,4.0
2192.jpg,5.0
2193.jpg,2.0
2194.jpg,5.0
2195.jpg,3.0
2196.jpg,3.0
2197.jpg,4.0
2198.jpg,3.0
2199.jpg,0.0
2200.jpg,0.0
2201.jpg,1.0
2202.jpg,5.0
2203.jpg,1.0
2204.jpg,2.0
2205.jpg,2.0
2206.jpg,1.0
2207.jpg,7.0
2208.jpg,3.0
2209.jpg,3.0
2210.jpg,2.0
2211.jpg,4.0
2212.jpg,3.0
2213.jpg,3.0
2214.jpg,3.0
2215.jpg,1.0
2216.jpg,5.0
2217.jpg,1.0
2218.jpg,1.0
2219.jpg,3.0
2220.jpg,3.0
2221.jpg,4.0
2222.jpg,3.0
2223.jpg,4.0
2224.jpg,7.0
2225.jpg,5.0
2226.jpg,1.0
2227.jpg,3.0
2228.jpg,0.0
2229.jpg,4.0
2230.jpg,3.0
2231.jpg,1.0
2232.jpg,0.0
2233.jpg,1.0
2234.jpg,3.0
2235.jpg,3.0
2236.jpg,3.0
2237.jpg,1.0
2238.jpg,1.0
2239.jpg,3.0
2240.jpg,3.0
2241.jpg,1.0
2242.jpg,6.0
2243.jpg,3.0
2244.jpg,4.0
2245.jpg,6.0
2246.jpg,6.0
2247.jpg,3.0
2248.jpg,5.0
2249.jpg,3.0
2250.jpg,1.0
2251.jpg,3.0
2252.jpg,3.0
2253.jpg,1.0
2254.jpg,7.0
2255.jpg,6.0
2256.jpg,2.0
2257.jpg,1.0
2258.jpg,0.0
2259.jpg,3.0
2260.jpg,3.0
2261.jpg,3.0
2262.jpg,3.0
2263.jpg,1.0
2264.jpg,1.0
2265.jpg,1.0
2266.jpg,5.0
2267.jpg,5.0
2268.jpg,3.0
2269.jpg,1.0
2270.jpg,1.0
2271.jpg,4.0
2272.jpg,5.0
2273.jpg,4.0
2274.jpg,6.0
2275.jpg,4.0
2276.jpg,0.0
2277.jpg,6.0
2278.jpg,5.0
2279.jpg,0.0
2280.jpg,4.0
2281.jpg,4.0
2282.jpg,3.0
2283.jpg,1.0
2284.jpg,5.0
2285.jpg,1.0
2286.jpg,3.0
2287.jpg,1.0
2289.jpg,1.0
